name,state_code,latitude,longitude,elevation
Aarons Pass,NSW,-32.86328,149.80375,804
Abba River,WA,-33.68488,115.46334,23
Abbey,WA,-33.66077,115.25863,7
Abbeyard,VIC,-36.96978,146.75244,415
Abbeywood,QLD,-26.10688,151.6288,429
Abbotsbury,NSW,-33.87754,150.86777,80
Abbotsford,NSW,-33.85247,151.12945,24
Abbotsford,QLD,-24.84369,152.02491,75
Abbotsford,VIC,-37.80329,145.00043,25
Abbotsham,TAS,-41.21131,146.17558,102
Abels Bay,TAS,-43.23333,147.09803,21
Abercorn,QLD,-25.13664,151.12935,200
Abercrombie,NSW,-33.38996,149.55047,661
Abercrombie River,NSW,-33.91055,149.34763,757
Aberdare,NSW,-32.8442,151.37651,95
Aberdeen,NSW,-32.1624,150.89012,178
Aberdeen,TAS,-41.24112,146.32449,108
Aberfeldie,VIC,-37.75669,144.89626,44
Aberfeldy,VIC,-37.69657,146.36406,1076
Aberfoyle,NSW,-30.24061,152.01293,1152
Aberfoyle Park,SA,-35.07628,138.59372,187
Aberglasslyn,NSW,-32.69466,151.53461,39
Abergowrie,QLD,-18.47499,145.88579,53
Abermain,NSW,-32.81082,151.42867,34
Abernethy,NSW,-32.88324,151.39668,91
Abingdon Downs,QLD,-17.7998,143.43956,255
Abington,NSW,-30.29421,151.25027,740
Abington,QLD,-25.20324,152.32893,61
Acacia Creek,NSW,-28.37333,152.32088,607
Acacia Gardens,NSW,-33.73355,150.91371,87
Acacia Hills,NT,-12.79565,131.12295,38
Acacia Hills,TAS,-41.28049,146.32495,143
Acacia Ridge,QLD,-27.58963,153.02787,39
Acheron,VIC,-37.25243,145.70202,202
Acland,QLD,-27.3037,151.6911,444
Acton,ACT,-35.28732,149.11213,556
Acton,TAS,-41.07007,145.89399,152
Acton Park,TAS,-42.86574,147.46989,103
Acton Park,WA,-33.77704,115.37437,53
Ada,VIC,-37.84087,145.84969,669
Adaminaby,NSW,-35.99735,148.76974,1022
Adams Estate,VIC,-38.42519,145.53186,83
Adamstown,NSW,-32.93254,151.72625,25
Adamstown Heights,NSW,-32.95098,151.7177,97
Adamsvale,WA,-32.24941,117.72485,298
Adare,QLD,-27.52154,152.28656,122
Adavale,QLD,-25.9119,144.70107,285
Addington,VIC,-37.38446,143.67251,464
Adelaide,SA,-34.92577,138.59973,75
Adelaide Lead,VIC,-37.07467,143.67736,235
Adelaide Park,QLD,-23.11468,150.69673,63
Adelaide River,NT,-13.19095,131.1376,45
Adelong,NSW,-35.30795,148.06368,338
Adjungbilly,NSW,-35.08146,148.40992,513
Advancetown,QLD,-28.03305,153.27963,55
Adventure Bay,TAS,-43.35579,147.32612,16
Aeroglen,QLD,-16.88394,145.74673,6
Afterlee,NSW,-28.59388,152.82575,238
Agery,SA,-34.1569,137.74281,105
Agnes,VIC,-38.67015,146.39615,21
Agnes Banks,NSW,-33.61888,150.70737,27
Agnes Water,QLD,-24.21251,151.90335,25
Ainslie,ACT,-35.26215,149.14589,593
Airdmillan,QLD,-19.54686,147.4437,11
Airds,NSW,-34.08447,150.82904,139
Aire Valley,VIC,-38.69611,143.56898,399
Aireys Inlet,VIC,-38.45944,144.10689,51
Airlie Beach,QLD,-20.26787,148.71622,13
Airly,VIC,-38.03555,147.0844,14
Airville,QLD,-19.65354,147.33726,19
Aitkenvale,QLD,-19.29771,146.76434,14
Ajana,WA,-27.94861,114.61132,213
Akaroa,TAS,-41.30452,148.31671,8
Akolele,NSW,-36.3558,150.07685,30
Alabama Hill,QLD,-20.08292,146.24937,356
Alawa,NT,-12.37896,130.87423,21
Alawoona,SA,-34.73589,140.50879,74
Albacutya,VIC,-35.69201,141.97654,85
Albanvale,VIC,-37.74593,144.77003,74
Albany,WA,-35.02387,117.88354,25
Albany Creek,QLD,-27.34553,152.9684,21
Albert,NSW,-32.41586,147.50811,249
Alberta,QLD,-24.32548,149.78253,97
Alberton,QLD,-27.70787,153.26916,6
Alberton,SA,-34.85922,138.51953,9
Alberton,TAS,-41.29309,147.78932,310
Alberton,VIC,-38.61139,146.66598,12
Alberton West,VIC,-38.59869,146.58795,21
Albert Park,SA,-34.87831,138.52135,10
Albert Park,VIC,-37.84071,144.95571,10
Albinia,QLD,-24.43965,148.3974,237
Albion,QLD,-27.42803,153.04521,35
Albion,QLD,-21.50903,142.69317,196
Albion,VIC,-37.77595,144.8194,44
Albion Park,NSW,-34.57072,150.77503,12
Albion Park Rail,NSW,-34.56084,150.79575,6
Albury,NSW,-36.08214,146.91017,157
Alcomie,TAS,-40.93487,145.18523,215
Aldavilla,NSW,-31.05895,152.76814,13
Alderley,QLD,-27.42442,153.00052,39
Aldershot,QLD,-25.47455,152.6601,19
Aldersyde,WA,-32.37423,117.30582,238
Aldgate,SA,-35.01512,138.73619,421
Aldinga,SA,-35.26733,138.48314,33
Aldinga Beach,SA,-35.27888,138.4618,24
Aldoga,QLD,-23.83529,151.07133,58
Alectown,NSW,-32.91427,148.26801,377
Alexander Heights,WA,-31.82761,115.86713,69
Alexandra,QLD,-21.16447,149.09961,20
Alexandra,VIC,-37.19131,145.71106,222
Alexandra Bridge,WA,-34.16062,115.19957,23
Alexandra Headland,QLD,-26.67064,153.10804,8
Alexandra Hills,QLD,-27.52277,153.22046,45
Alexandria,NSW,-33.90985,151.19278,6
Alford,SA,-33.81518,137.82127,67
Alfords Point,NSW,-33.9933,151.02475,100
Alfred Cove,WA,-32.03424,115.80861,13
Alfredton,VIC,-37.55696,143.81723,459
Alfredtown,NSW,-35.16147,147.51238,198
Algester,QLD,-27.6113,153.03352,33
Alice,NSW,-29.05024,152.58745,117
Alice Creek,QLD,-26.76002,151.6317,575
Alice River,QLD,-19.32661,146.59971,50
Alice Springs,NT,-23.70036,133.88089,581
Ali Curung,NT,-21.00041,134.39409,378
Alison,NSW,-33.26817,151.39865,8
Alison,NSW,-32.4348,151.77193,90
Alkimos,WA,-31.61455,115.68059,40
Allambee,VIC,-38.29287,146.02163,359
Allambee Reserve,VIC,-38.28526,146.05489,417
Allambee South,VIC,-38.34374,146.09959,170
Allambie Heights,NSW,-33.76508,151.24886,126
Allan,QLD,-28.19557,151.94953,456
Allandale,NSW,-32.71069,151.42353,55
Allandale,QLD,-28.00836,152.75909,217
Allanooka,WA,-29.04726,115.02908,100
Allans Flat,VIC,-36.27611,146.90982,206
Allansford,VIC,-38.38647,142.59067,15
Allanson,WA,-33.33753,116.09806,191
Allawah,NSW,-33.97002,151.11452,55
Alleena,NSW,-34.10946,147.14097,284
Allenby Gardens,SA,-34.90433,138.55515,18
Allendale,VIC,-37.36871,143.93855,479
Allendale East,SA,-38.00337,140.70894,16
Allendale North,SA,-34.30398,138.91766,277
Allens Rivulet,TAS,-43.01068,147.20406,148
Allenstown,QLD,-23.38894,150.50287,13
Allenview,QLD,-27.90126,152.93908,36
Allestree,VIC,-38.27035,141.65616,10
Allgomera,NSW,-30.8161,152.83137,51
Alligator Creek,QLD,-21.32393,149.21106,16
Alligator Creek,QLD,-19.42492,146.9472,26
Allora,QLD,-28.03585,151.98272,473
Alloway,QLD,-24.95238,152.36214,29
Allworth,NSW,-32.54169,151.96093,20
Allynbrook,NSW,-32.36334,151.53623,89
Alma,SA,-34.26662,138.63086,177
Alma,VIC,-37.02881,143.67682,212
Alma,WA,-28.23338,114.69358,281
Almaden,QLD,-17.34006,144.67813,498
Alma Park,NSW,-35.60413,146.79169,213
Almonds,VIC,-36.22497,146.06069,177
Almurta,VIC,-38.45863,145.58388,66
Alonnah,TAS,-43.32148,147.24218,5
Aloomba,QLD,-17.11626,145.83486,13
Alpha,QLD,-23.64966,146.64107,353
