NTL|-32.84,151.38|2016-10-12T00:00:00.000+11:00|Clear Sky|14.6|1001|55
BNE|-25.2,152.33|2016-05-17T00:00:00.000+10:00|Partial Cloudy|21.3|1021.2|70
LST|-41.07,145.89|2016-11-20T00:00:00.000+11:00|Clear Sky|16.0|1001|73
YBLT|-38.46,144.11|2016-06-07T00:00:00.000+10:00|Rainy|8.8|1003.1|100
LST|-41.3,148.32|2016-05-21T00:00:00.000+10:00|Humid|8.6|1001|96
ADL|-35.02,138.74|2016-06-10T00:00:00.000+10:00|Rainy|14.3|1021.7|74
ADL|-35.27,138.48|2016-01-06T00:00:00.000+11:00|Clear Sky|23.6|1018.5|49
YBLT|-37.56,143.82|2016-09-26T00:00:00.000+10:00|Humid|8.6|1012.9|98
CNS|-17.34,144.68|2016-04-08T00:00:00.000+10:00|Rainy|26.0|1015.7|88
AYQ|-26.16,131.14|2016-06-01T00:00:00.000+10:00|Rainy|18.0|1020.5|100
YPEA|-28.7,115.12|2016-05-02T00:00:00.000+10:00|Humid|13.6|1022.6|90
LST|-41.21,146.37|2016-02-10T00:00:00.000+11:00|Clear Sky|20.5|1001|79
BNE|-23.79,150.93|2016-11-29T00:00:00.000+11:00|Sunny|25.8|1013.7|37
MRZ|-26.55,148.19|2016-09-08T00:00:00.000+10:00|Clear Sky|17.0|1027.8|65
ASP|-21.65,135.22|2016-03-13T00:00:00.000+11:00|Partial Cloudy|28.0|1012.2|61
ASP|-22.01,133.46|2016-08-22T00:00:00.000+10:00|Rainy|13.9|1011.8|72
MRZ|-30.96,150.83|2016-06-12T00:00:00.000+10:00|Clear Sky|12.6|1031.5|58
CNS|-17.06,144.0|2016-12-13T00:00:00.000+11:00|Rainy|26.0|1013.6|82
BXG|-36.88,143.52|2016-09-22T00:00:00.000+10:00|Clear Sky|10.8|1016.8|69
ASP|-24.07,132.27|2016-08-26T00:00:00.000+10:00|Clear Sky|10.3|1024.1|55
CBR|-35.32,148.45|2016-07-08T00:00:00.000+10:00|Humid|1.6|1001|100
LST|-41.06,144.68|2016-02-29T00:00:00.000+11:00|Clear Sky|17.0|1001|80
MQL|-33.87,142.89|2016-08-27T00:00:00.000+10:00|Partial Cloudy|9.8|1025.3|75
PER|-31.94,115.92|2016-02-04T00:00:00.000+11:00|Windy|25.1|1019.2|37
YPEA|-31.73,115.79|2016-01-25T00:00:00.000+11:00|Rainy|29.1|1009.8|71
PER|-31.92,115.94|2016-03-09T00:00:00.000+11:00|Sunny|27.2|1013|38
ADL|-35.51,139.37|2016-08-11T00:00:00.000+10:00|Rainy|11.1|1023.2|86
SYD|-33.69,151.11|2016-03-12T00:00:00.000+11:00|Sunny|25.3|1019.6|73
